timestamp,feedback,sentiment
2025-04-16 10:01:00,"The spoon made my food taste amazing. I could actually enjoy low-salt meals!","Positive"
2025-04-16 10:05:00,"It's a clever idea but I didn't notice much difference in taste.","Neutral"
2025-04-16 10:10:00,"Really helped enhance the flavor of my rice. Pleasantly surprised.","Positive"
2025-04-16 10:15:00,"I felt a strange tingling on my tongue. Kind of uncomfortable.","Negative"
2025-04-16 10:20:00,"I was skeptical at first but the spoon added just the right saltiness!","Positive"
2025-04-16 12:56:52,"perfectly fine had a great experience today loved it
",Positive
2025-04-16 12:58:36,not good,Negative
2025-04-17 19:44:24,it was good experience,Positive
2025-09-11 19:11:42,User friendly Which is freely available thank,Positive
2025-09-11 19:58:01,The spoon made my food taste amazing.,Positive
2025-09-11 20:05:31,The application you have built is awesome!,Positive
2025-09-11 20:07:05,I don't like this application.,Negative
2025-09-11 20:08:17,"The application you have created some what good and somewhat bad.
",Positive
2025-09-11 20:24:46,The application is usefull,Neutral
2025-09-11 20:25:14,The application is amazing.,Positive
2025-09-11 20:32:58,The application is awesome.,Positive
2025-09-11 20:33:54,The application is very much beautiful.,Positive
2025-09-11 20:39:18,The application is Amazing.,Positive
2025-09-11 20:41:08,The application is very much useful for diet plan and i gonna use it. Thank you.,Positive
